,JobID,Title,Job_Type,Company,Salary,Schedule,Location,Date_Posted,Current_Date,Details,Apply_link
0,NY14072023FRI001,FOOD SERVER ASSISTANT (BUSSER),Full-time,Park Hyatt New York,$17.29 - $23.06 an hour,,"New York, NY 10019 (Midtown area)",Just posted,23-07-14,The Food Server Assistant is responsible primarily for assisting the Food Server in serving the guest. This person must have good communication skills as well…,https://www.indeed.com//rc/clk?jk=923ac23a84cb1314&fccid=b385273868d506a9&vjs=3
1,NY14072023FRI002,Wait Staff Non-Tipped,Full-time,SodexoMagic,$18 an hour,,"Flushing, NY 11371",Just posted,23-07-14,"Access to ongoing training and development programs. Full array of benefits including paid time off, holidays, medical, dental, vision, tuition reimbursement,…",https://www.indeed.com//rc/clk?jk=094585ff819afbce&fccid=272c1d1b584def7a&vjs=3
2,NY14072023FRI003,"EXECUTIVE CHEF - FISD - MORRISTOWN, NJ",Full-time,Flik Hospitality Group,"$75,000 - $82,000 a year",,"Morristown, NJ 07960",Just posted,23-07-14,We go above and beyond foodservice by offering nutrition education programs that empower students to make healthy choices on a daily basis.,https://www.indeed.com//rc/clk?jk=99abe5856d03c2f9&fccid=cf3d86ebc9d052e2&vjs=3
3,NY14072023FRI004,Line Cook,Full-time,Constellation,$18 - $21 an hour,,"Long Island City, NY 11101",Just posted,23-07-14,"Following safe food handling policies, procedures and recipes. Ability to use various kitchen equipment and tools as well as identify and differentiate food…",https://www.indeed.com//rc/clk?jk=1f043c83b4390925&fccid=c55f4ad42cee2cd3&vjs=3
4,NY14072023FRI005,Prep Cook,Full-time,Chili's,Estimated $27K - $34.2K a year,,"Little Falls, NJ 07424",Just posted,23-07-14,Flexible part-time or full-time schedule. Properly execute all recipe procedures. Prepare a variety of foods with different methods of preparation.,https://www.indeed.com//rc/clk?jk=c177edcb3b214162&fccid=69887a18edd6f1e2&vjs=3
5,NY14072023FRI006,Team Member,"Full-time, Part-time",CAVA,$15.75 an hour,,"New York, NY 10036",Just posted,23-07-14,Enthusiastically educate guests about our menu and assemble orders as requested. Ability to cross train across the restaurant to ensure rapid growth.,https://www.indeed.com//rc/clk?jk=390c5af3465c4d8b&fccid=9195c15926c7541c&vjs=3
6,NY14072023FRI007,Prep Crew,Part-time,CAVA,$15.25 an hour,,"New York, NY 10036",Just posted,23-07-14,"From greeting guests with genuine passion to preparing top quality food in our open kitchens, our prep crew helps create CAVA fanatics.",https://www.indeed.com//rc/clk?jk=ac3a5fb00e0a9cbe&fccid=9195c15926c7541c&vjs=3
7,NY14072023FRI008,Fine Dining Server,"Full-time, Part-time",Casa Lever,Estimated $28.2K - $35.7K a year,,"New York, NY 10022 (Midtown area)",Just posted,23-07-14,Our ideal candidate should be a trained professional who can effectively sell our menu to guests rather than simply taking their orders.,https://www.indeed.com//rc/clk?jk=f8a2eee44b8f189c&fccid=35997f7d230d898a&vjs=3
8,NY14072023FRI009,Guest Relations Manager - Conrad New York Midtown,,Hilton,$33.65 an hour,,"New York, NY 10019 (Midtown area)",Just posted,23-07-14,"Go Hilton travel discount program. Employee stock purchase program (ESPP) - purchase Hilton shares at 15% discount. Recruit, interview and train team members.",https://www.indeed.com//rc/clk?jk=7bf94db4924602e3&fccid=6f47211b0637a52d&vjs=3
9,NY14072023FRI010,Guest Experience Manager,"Full-time, Part-time",CAVA,$18.50 an hour,,"New York, NY 10036",Just posted,23-07-14,"They motivate and lead team members, uphold standards in the kitchen and dining room, and ensure a safe, positive environment for guests and the team.",https://www.indeed.com//rc/clk?jk=d8ae4c842d779b1c&fccid=9195c15926c7541c&vjs=3
10,NY14072023FRI011,Cook (Temporary) - Millennium Hilton New York One UN Plaza,,Hilton,$29.86 - $39.82 an hour,Temporary,"New York, NY 10017 (Midtown area)",Just posted,23-07-14,A Cafeteria Cook is responsible for preparing and cooking all food items for the team member cafeteria in accordance with recipes and established standards in…,https://www.indeed.com//rc/clk?jk=6067f1ff4f3a7449&fccid=6f47211b0637a52d&vjs=3
11,NY14072023FRI012,Grill Cook,"Full-time, Part-time",CAVA,$16.50 an hour,,"New York, NY 10036",Just posted,23-07-14,Ability to cross train across the restaurant to ensure rapid growth. This role is constantly in motion to deliver mind-blowing meals to our guests.,https://www.indeed.com//rc/clk?jk=a0b7c5f8706e2199&fccid=9195c15926c7541c&vjs=3
12,NY14072023FRI013,Bartender,Part-time,SpringHill Suites by Marriott New York JFK...,,Weekends as needed+1,"Jamaica, NY 11435",Just posted,23-07-14,"Serve beverages and/or food in a friendly, courteous and timely manner, achieving a high level of guest satisfaction. Assist with taking beverage inventory.",https://www.indeed.com//rc/clk?jk=f7500183e2656298&fccid=dd616958bd9ddc12&vjs=3
